 human_inf_a_1: "£unit_1£ Human Archer"
 mantid_cav_a_4: "£unit_4£ Mantid Light Cavalry"
 mantid_cav_a_4DESCR: ""
 mantid_cav_b_4: "£unit_4£ Mantid Heavy Cavalry"
 mantid_cav_b_4DESCR: ""
 mantid_art_a_4: "£unit_4£ Mantid Catapult"
 mantid_art_a_4DESCR: ""
 mantid_art_b_4: "£unit_4£ Mantid Trebuchet"
 mantid_art_b_4DESCR: ""
 mantid_inf_a_5: "£unit_5£ Mantid Archer"
 mantid_inf_a_5DESCR: ""
 mantid_inf_b_5: "£unit_5£ Mantid Warrior"
 mantid_inf_b_5DESCR: ""
 mantid_inf_c_5: "£unit_5£ Mantid Spellcaster"
 mantid_inf_c_5DESCR: ""
 mantid_cav_a_5: "£unit_5£ Mantid Light Cavalry"
 mantid_cav_a_5DESCR: ""
 mantid_cav_b_5: "£unit_5£ Mantid Heavy Cavalry"
 mantid_cav_b_5DESCR: ""
 mantid_art_a_5: "£unit_5£ Mantid Catapult"
 mantid_art_a_5DESCR: ""
 mantid_art_b_5: "£unit_5£ Mantid Trebuchet"
 mantid_art_b_5DESCR: ""

 centaur_inf_a_1: "£unit_1£ Centaur Archer"
 centaur_inf_a_1DESCR: ""
 centaur_inf_b_1: "£unit_1£ Centaur Warrior"
 centaur_inf_b_1DESCR: ""
 centaur_inf_c_1: "£unit_1£ Centaur Spellcaster"
 centaur_inf_c_1DESCR: ""
 centaur_cav_a_1: "£unit_1£ Centaur Light Cavalry"
 centaur_cav_a_1DESCR: ""
 centaur_cav_b_1: "£unit_1£ Centaur Heavy Cavalry"
 centaur_cav_b_1DESCR: ""
 centaur_art_a_1: "£unit_1£ Centaur Catapult"
 centaur_art_a_1DESCR: ""
 centaur_art_b_1: "£unit_1£ Centaur Trebuchet"
 centaur_art_b_1DESCR: ""
 centaur_inf_a_2: "£unit_2£ Centaur Archer"
 centaur_inf_a_2DESCR: ""
 centaur_inf_b_2: "£unit_2£ Centaur Warrior"
 centaur_inf_b_2DESCR: ""
 centaur_inf_c_2: "£unit_2£ Centaur Spellcaster"
 centaur_inf_c_2DESCR: ""
 centaur_cav_a_2: "£unit_2£ Centaur Light Cavalry"
 centaur_cav_a_2DESCR: ""
 centaur_cav_b_2: "£unit_2£ Centaur Heavy Cavalry"
 centaur_cav_b_2DESCR: ""
 centaur_art_a_2: "£unit_2£ Centaur Catapult"
 centaur_art_a_2DESCR: ""
 centaur_art_b_2: "£unit_2£ Centaur Trebuchet"
 centaur_art_b_2DESCR: ""
 centaur_inf_a_3: "£unit_3£ Centaur Archer"
 centaur_inf_a_3DESCR: ""
 centaur_inf_b_3: "£unit_3£ Centaur Warrior"
 centaur_inf_b_3DESCR: ""
 centaur_inf_c_3: "£unit_3£ Centaur Spellcaster"
 centaur_inf_c_3DESCR: ""
 centaur_cav_a_3: "£unit_3£ Centaur Light Cavalry"
 centaur_cav_a_3DESCR: ""
 centaur_cav_b_3: "£unit_3£ Centaur Heavy Cavalry"
 centaur_cav_b_3DESCR: ""
 centaur_art_a_3: "£unit_3£ Centaur Catapult"
 centaur_art_a_3DESCR: ""
 centaur_art_b_3: "£unit_3£ Centaur Trebuchet"
 centaur_art_b_3DESCR: ""
 centaur_inf_a_4: "£unit_4£ Centaur Archer"
 centaur_inf_a_4DESCR: ""
 centaur_inf_b_4: "£unit_4£ Centaur Warrior"
 centaur_inf_b_4DESCR: ""
 centaur_inf_c_4: "£unit_4£ Centaur Spellcaster"
 centaur_inf_c_4DESCR: ""
 centaur_cav_a_4: "£unit_4£ Centaur Light Cavalry"
 centaur_cav_a_4DESCR: ""
 centaur_cav_b_4: "£unit_4£ Centaur Heavy Cavalry"
 centaur_cav_b_4DESCR: ""
 centaur_art_a_4: "£unit_4£ Centaur Catapult"
 centaur_art_a_4DESCR: ""
 centaur_art_b_4: "£unit_4£ Centaur Trebuchet"
 centaur_art_b_4DESCR: ""
 centaur_inf_a_5: "£unit_5£ Centaur Archer"
 centaur_inf_a_5DESCR: ""
 centaur_inf_b_5: "£unit_5£ Centaur Warrior"
 centaur_inf_b_5DESCR: ""
 centaur_inf_c_5: "£unit_5£ Centaur Spellcaster"
 centaur_inf_c_5DESCR: ""
 centaur_cav_a_5: "£unit_5£ Centaur Light Cavalry"
 centaur_cav_a_5DESCR: ""
 centaur_cav_b_5: "£unit_5£ Centaur Heavy Cavalry"
 centaur_cav_b_5DESCR: ""
 centaur_art_a_5: "£unit_5£ Centaur Catapult"
 centaur_art_a_5DESCR: ""
 centaur_art_b_5: "£unit_5£ Centaur Trebuchet"
 centaur_art_b_5DESCR: ""

 draenei_inf_a_1: "£unit_1£ Draenei Archer"
 draenei_inf_a_1DESCR: ""
 draenei_inf_b_1: "£unit_1£ Draenei Warrior"
 draenei_inf_b_1DESCR: ""
 draenei_inf_c_1: "£unit_1£ Draenei Spellcaster"
 draenei_inf_c_1DESCR: ""
 draenei_cav_a_1: "£unit_1£ Draenei Light Cavalry"
 draenei_cav_a_1DESCR: ""
 draenei_cav_b_1: "£unit_1£ Draenei Heavy Cavalry"
 draenei_cav_b_1DESCR: ""
 draenei_art_a_1: "£unit_1£ Draenei Catapult"
 draenei_art_a_1DESCR: ""
 draenei_art_b_1: "£unit_1£ Draenei Trebuchet"
 draenei_art_b_1DESCR: ""
 draenei_inf_a_2: "£unit_2£ Draenei Archer"
 draenei_inf_a_2DESCR: ""
 draenei_inf_b_2: "£unit_2£ Draenei Warrior"
 draenei_inf_b_2DESCR: ""
 draenei_inf_c_2: "£unit_2£ Draenei Spellcaster"
 draenei_inf_c_2DESCR: ""
 draenei_cav_a_2: "£unit_2£ Draenei Light Cavalry"
 draenei_cav_a_2DESCR: ""
 draenei_cav_b_2: "£unit_2£ Draenei Heavy Cavalry"
 draenei_cav_b_2DESCR: ""
 draenei_art_a_2: "£unit_2£ Draenei Catapult"
 draenei_art_a_2DESCR: ""
 draenei_art_b_2: "£unit_2£ Draenei Trebuchet"
 draenei_art_b_2DESCR: ""
 draenei_inf_a_3: "£unit_3£ Draenei Archer"
 draenei_inf_a_3DESCR: ""
 draenei_inf_b_3: "£unit_3£ Draenei Warrior"
 draenei_inf_b_3DESCR: ""
 draenei_inf_c_3: "£unit_3£ Draenei Spellcaster"
 draenei_inf_c_3DESCR: ""
 draenei_cav_a_3: "£unit_3£ Draenei Light Cavalry"
 draenei_cav_a_3DESCR: ""
 draenei_cav_b_3: "£unit_3£ Draenei Heavy Cavalry"
 draenei_cav_b_3DESCR: ""
 draenei_art_a_3: "£unit_3£ Draenei Catapult"
 draenei_art_a_3DESCR: ""
 draenei_art_b_3: "£unit_3£ Draenei Trebuchet"
 draenei_art_b_3DESCR: ""
 draenei_inf_a_4: "£unit_4£ Draenei Archer"
 draenei_inf_a_4DESCR: ""
 draenei_inf_b_4: "£unit_4£ Draenei Warrior"
 draenei_inf_b_4DESCR: ""
 draenei_inf_c_4: "£unit_4£ Draenei Spellcaster"
 draenei_inf_c_4DESCR: ""
 draenei_cav_a_4: "£unit_4£ Draenei Light Cavalry"
 draenei_cav_a_4DESCR: ""
 draenei_cav_b_4: "£unit_4£ Draenei Heavy Cavalry"
 draenei_cav_b_4DESCR: ""
 draenei_art_a_4: "£unit_4£ Draenei Catapult"
 draenei_art_a_4DESCR: ""
 draenei_art_b_4: "£unit_4£ Draenei Trebuchet"
 draenei_art_b_4DESCR: ""
 draenei_inf_a_5: "£unit_5£ Draenei Archer"
 draenei_inf_a_5DESCR: ""
 draenei_inf_b_5: "£unit_5£ Draenei Warrior"
 draenei_inf_b_5DESCR: ""
 draenei_inf_c_5: "£unit_5£ Draenei Spellcaster"
 draenei_inf_c_5DESCR: ""
 draenei_cav_a_5: "£unit_5£ Draenei Light Cavalry"
 draenei_cav_a_5DESCR: ""
 draenei_cav_b_5: "£unit_5£ Draenei Heavy Cavalry"
 draenei_cav_b_5DESCR: ""
 draenei_art_a_5: "£unit_5£ Draenei Catapult"
 draenei_art_a_5DESCR: ""
 draenei_art_b_5: "£unit_5£ Draenei Trebuchet"
 draenei_art_b_5DESCR: ""

 broken_inf_a_1: "£unit_1£ Broken Archer"
 broken_inf_a_1DESCR: ""
 broken_inf_b_1: "£unit_1£ Broken Warrior"
 broken_inf_b_1DESCR: ""
 broken_inf_c_1: "£unit_1£ Broken Spellcaster"
 broken_inf_c_1DESCR: ""
 broken_cav_a_1: "£unit_1£ Broken Light Cavalry"
 broken_cav_a_1DESCR: ""
 broken_cav_b_1: "£unit_1£ Broken Heavy Cavalry"
 broken_cav_b_1DESCR: ""
 broken_art_a_1: "£unit_1£ Broken Catapult"
 broken_art_a_1DESCR: ""
 broken_art_b_1: "£unit_1£ Broken Trebuchet"
 broken_art_b_1DESCR: ""
 broken_inf_a_2: "£unit_2£ Broken Archer"
 broken_inf_a_2DESCR: ""
 broken_inf_b_2: "£unit_2£ Broken Warrior"
 broken_inf_b_2DESCR: ""
 broken_inf_c_2: "£unit_2£ Broken Spellcaster"
 broken_inf_c_2DESCR: ""
 broken_cav_a_2: "£unit_2£ Broken Light Cavalry"
 broken_cav_a_2DESCR: ""
 broken_cav_b_2: "£unit_2£ Broken Heavy Cavalry"
 broken_cav_b_2DESCR: ""
 broken_art_a_2: "£unit_2£ Broken Catapult"
 broken_art_a_2DESCR: ""
 broken_art_b_2: "£unit_2£ Broken Trebuchet"
 broken_art_b_2DESCR: ""
 broken_inf_a_3: "£unit_3£ Broken Archer"
 broken_inf_a_3DESCR: ""
 broken_inf_b_3: "£unit_3£ Broken Warrior"
 broken_inf_b_3DESCR: ""
 broken_inf_c_3: "£unit_3£ Broken Spellcaster"
 broken_inf_c_3DESCR: ""
 broken_cav_a_3: "£unit_3£ Broken Light Cavalry"
 broken_cav_a_3DESCR: ""
 broken_cav_b_3: "£unit_3£ Broken Heavy Cavalry"
 broken_cav_b_3DESCR: ""
 broken_art_a_3: "£unit_3£ Broken Catapult"
 broken_art_a_3DESCR: ""
 broken_art_b_3: "£unit_3£ Broken Trebuchet"
 broken_art_b_3DESCR: ""
 broken_inf_a_4: "£unit_4£ Broken Archer"
 broken_inf_a_4DESCR: ""
 broken_inf_b_4: "£unit_4£ Broken Warrior"
 broken_inf_b_4DESCR: ""
 broken_inf_c_4: "£unit_4£ Broken Spellcaster"
 broken_inf_c_4DESCR: ""
 broken_cav_a_4: "£unit_4£ Broken Light Cavalry"
 broken_cav_a_4DESCR: ""
 broken_cav_b_4: "£unit_4£ Broken Heavy Cavalry"
 broken_cav_b_4DESCR: ""
 broken_art_a_4: "£unit_4£ Broken Catapult"
 broken_art_a_4DESCR: ""
 broken_art_b_4: "£unit_4£ Broken Trebuchet"
 broken_art_b_4DESCR: ""
 broken_inf_a_5: "£unit_5£ Broken Archer"
 broken_inf_a_5DESCR: ""
 broken_inf_b_5: "£unit_5£ Broken Warrior"
 broken_inf_b_5DESCR: ""
 broken_inf_c_5: "£unit_5£ Broken Spellcaster"
 broken_inf_c_5DESCR: ""
 broken_cav_a_5: "£unit_5£ Broken Light Cavalry"
 broken_cav_a_5DESCR: ""
 broken_cav_b_5: "£unit_5£ Broken Heavy Cavalry"
 broken_cav_b_5DESCR: ""
 broken_art_a_5: "£unit_5£ Broken Catapult"
 broken_art_a_5DESCR: ""
 broken_art_b_5: "£unit_5£ Broken Trebuchet"
 broken_art_b_5DESCR: ""

 red_dragonflight_inf_a_1: "£unit_1£ Red Dragon Archer"
 red_dragonflight_inf_a_1DESCR: ""
 red_dragonflight_inf_b_1: "£unit_1£ Red Dragon Warrior"
 red_dragonflight_inf_b_1DESCR: ""
 red_dragonflight_inf_c_1: "£unit_1£ Red Dragon Spellcaster"
 red_dragonflight_inf_c_1DESCR: ""
 red_dragonflight_cav_a_1: "£unit_1£ Red Dragon Light Cavalry"
 red_dragonflight_cav_a_1DESCR: ""
 red_dragonflight_cav_b_1: "£unit_1£ Red Dragon Heavy Cavalry"
 red_dragonflight_cav_b_1DESCR: ""
 red_dragonflight_art_a_1: "£unit_1£ Red Dragon Catapult"
 red_dragonflight_art_a_1DESCR: ""
 red_dragonflight_art_b_1: "£unit_1£ Red Dragon Trebuchet"
 red_dragonflight_art_b_1DESCR: ""
 red_dragonflight_inf_a_2: "£unit_2£ Red Dragon Archer"
 red_dragonflight_inf_a_2DESCR: ""
 red_dragonflight_inf_b_2: "£unit_2£ Red Dragon Warrior"
 red_dragonflight_inf_b_2DESCR: ""
 red_dragonflight_inf_c_2: "£unit_2£ Red Dragon Spellcaster"
 red_dragonflight_inf_c_2DESCR: ""
 red_dragonflight_cav_a_2: "£unit_2£ Red Dragon Light Cavalry"
 red_dragonflight_cav_a_2DESCR: ""
 red_dragonflight_cav_b_2: "£unit_2£ Red Dragon Heavy Cavalry"
 red_dragonflight_cav_b_2DESCR: ""
 red_dragonflight_art_a_2: "£unit_2£ Red Dragon Catapult"
 red_dragonflight_art_a_2DESCR: ""
 red_dragonflight_art_b_2: "£unit_2£ Red Dragon Trebuchet"
 red_dragonflight_art_b_2DESCR: ""
 red_dragonflight_inf_a_3: "£unit_3£ Red Dragon Archer"
 red_dragonflight_inf_a_3DESCR: ""
 red_dragonflight_inf_b_3: "£unit_3£ Red Dragon Warrior"
 red_dragonflight_inf_b_3DESCR: ""
 red_dragonflight_inf_c_3: "£unit_3£ Red Dragon Spellcaster"
 red_dragonflight_inf_c_3DESCR: ""
 red_dragonflight_cav_a_3: "£unit_3£ Red Dragon Light Cavalry"
 red_dragonflight_cav_a_3DESCR: ""
 red_dragonflight_cav_b_3: "£unit_3£ Red Dragon Heavy Cavalry"
 red_dragonflight_cav_b_3DESCR: ""
 red_dragonflight_art_a_3: "£unit_3£ Red Dragon Catapult"
 red_dragonflight_art_a_3DESCR: ""
 red_dragonflight_art_b_3: "£unit_3£ Red Dragon Trebuchet"
 red_dragonflight_art_b_3DESCR: ""
 red_dragonflight_inf_a_4: "£unit_4£ Red Dragon Archer"
 red_dragonflight_inf_a_4DESCR: ""
 red_dragonflight_inf_b_4: "£unit_4£ Red Dragon Warrior"
 red_dragonflight_inf_b_4DESCR: ""
 red_dragonflight_inf_c_4: "£unit_4£ Red Dragon Spellcaster"
 red_dragonflight_inf_c_4DESCR: ""
 red_dragonflight_cav_a_4: "£unit_4£ Red Dragon Light Cavalry"
 red_dragonflight_cav_a_4DESCR: ""
 red_dragonflight_cav_b_4: "£unit_4£ Red Dragon Heavy Cavalry"
 red_dragonflight_cav_b_4DESCR: ""
 red_dragonflight_art_a_4: "£unit_4£ Red Dragon Catapult"
 red_dragonflight_art_a_4DESCR: ""
 red_dragonflight_art_b_4: "£unit_4£ Red Dragon Trebuchet"
 red_dragonflight_art_b_4DESCR: ""
 red_dragonflight_inf_a_5: "£unit_5£ Red Dragon Archer"
 red_dragonflight_inf_a_5DESCR: ""
 red_dragonflight_inf_b_5: "£unit_5£ Red Dragon Warrior"
 red_dragonflight_inf_b_5DESCR: ""
